Segment,카드이용한도금액,CA한도금액,이용건수_선결제_R3M,선입금원금_B2M,상환개월수_결제일_R3M,선입금원금_B5M,이용개월수_결제일_R6M
A,208443,62167,0,0,3,0,6
B,86495,34279,0,0,3,0,6
A,203083,57144,0,0,3,0,6
A,195756,51556,0,0,3,0,6
A,178957,54086,0,0,3,0,6
A,210272,59686,0,0,3,0,6
A,86415,39697,0,0,3,0,6
A,210688,58423,0,0,3,0,6
A,214427,59559,0,0,3,0,6
A,194764,56204,0,0,3,0,6
A,203872,64281,0,0,3,0,6
A,201801,53608,0,0,3,10430,5
A,201150,59452,0,0,3,0,6
A,225098,62514,0,0,3,0,6
A,216446,62586,0,0,3,0,6
A,192859,54014,0,0,0,0,1
A,202483,57898,0,0,3,0,6
A,207455,0,0,0,3,0,6
A,197321,57409,0,0,3,0,6
A,222033,59124,0,0,3,0,6
A,197977,53658,0,0,2,0,1
B,85119,33051,0,0,1,0,6
B,87941,36917,0,10826,0,10102,0
B,196658,60575,0,0,3,0,6
A,184893,55708,0,0,3,0,6
A,206645,62034,60,10321,1,9828,2
A,183207,49347,0,0,3,0,6
A,159655,42655,0,0,1,0,5
A,199362,52583,0,0,3,0,6
A,206033,59252,0,0,1,0,5
A,209772,64611,0,0,3,0,6
A,205373,50159,0,10483,1,8719,6
A,189212,58159,0,0,3,6469,6
A,205850,55870,0,0,3,0,5
A,215736,56951,0,0,3,0,6
A,54732,21339,0,8032,0,7790,0
A,85940,32253,0,0,0,0,0
A,198761,61894,0,0,3,0,6
B,92483,33384,53,17502,0,14788,4
A,215538,58274,0,0,3,0,6
B,86845,28598,161,15341,0,11038,1
A,210021,58548,0,0,3,0,6
A,212958,56157,0,0,3,0,6
A,200186,54638,0,0,3,0,6
A,191790,57174,0,7018,1,7722,2
A,191896,50632,0,0,3,0,6
A,203543,47671,0,0,3,0,6
A,87494,41503,0,8542,1,11229,3
A,207833,60075,0,0,2,0,5
A,184700,56591,0,0,3,0,6
A,191410,54953,0,0,3,0,6
A,197908,52944,0,0,3,0,6
A,213677,58539,0,0,2,0,6
A,207829,60690,0,7224,2,7754,6
B,201065,61259,0,0,3,0,6
B,206612,57298,0,0,3,0,6
A,201663,61978,0,0,3,0,6
B,181925,0,0,9357,1,8810,1
A,201149,57884,0,0,3,0,6
A,218002,58077,0,0,3,0,6
A,201745,55027,0,0,3,0,6
A,209600,60426,0,0,3,0,6
A,185886,55115,0,0,3,0,6
A,182639,56698,0,0,3,0,6
A,193863,50756,0,0,3,0,6
A,197197,58733,0,0,3,0,6
A,198084,54662,0,0,3,0,6
A,201367,59916,0,0,3,0,6
A,201665,61101,0,0,3,0,6
A,200633,56877,0,0,3,0,6
A,199525,60006,0,0,3,0,6
A,204807,56739,0,0,3,0,6
A,215887,63123,0,0,3,0,6
A,197469,63976,0,0,3,6965,6
A,201214,61510,0,0,3,0,6
A,202392,56784,0,0,3,0,6
A,233993,63071,0,0,3,0,6
A,217480,59634,0,12601,0,12377,4
B,85558,36191,0,0,3,0,6
B,199609,49481,83,11863,0,10597,0
A,177077,52038,0,0,3,0,6
A,202746,60809,0,0,3,0,6
A,195465,58007,0,0,3,0,6
A,220289,60418,0,0,3,0,6
A,203918,60980,0,0,3,0,6
A,195908,61200,0,0,3,0,6
A,201590,51097,0,0,3,0,6
B,194303,61948,0,0,3,0,6
B,87649,36161,0,0,3,0,6
A,206645,58536,0,0,3,0,6
A,172504,56593,0,0,3,0,6
A,194456,53331,0,0,3,0,6
A,215412,64109,0,0,3,0,6
A,208209,59699,0,0,3,0,6
B,89908,41399,0,0,3,0,6
A,223495,64513,0,0,2,0,5
A,188308,56611,0,0,3,0,6
A,194383,57416,0,0,3,0,6
B,193187,54216,0,0,3,0,6
A,198139,52467,0,9985,1,8690,6
A,209169,55109,0,0,2,0,5
A,196238,63494,0,0,3,0,6
A,217549,65010,0,0,3,0,6
A,204537,57756,0,0,3,0,6
A,205325,60068,0,0,3,0,6
A,203993,59728,0,0,2,0,6
A,189717,62902,0,0,3,0,6
A,203128,58653,0,0,3,0,6
A,202644,57982,0,0,3,0,6
A,213691,60466,0,0,3,6298,4
B,85450,31372,0,0,0,0,6
A,198998,57941,0,0,3,0,6
A,207400,59039,0,0,3,0,6
A,200118,59090,0,0,3,0,6
A,190607,56753,0,0,3,6181,6
A,202831,60510,0,0,3,0,6
A,202570,60634,0,0,3,0,6
A,188858,57002,0,0,3,0,6
A,173905,50907,0,0,3,0,6
A,203444,61247,0,0,3,0,6
A,202086,55524,0,16477,1,0,6
A,221551,59843,0,9091,3,7982,6
A,202800,60388,0,0,3,0,6
A,187658,46247,0,0,3,0,6
A,188855,56207,0,10408,1,9360,2
A,198937,59276,0,0,3,0,6
A,196673,60233,0,0,3,0,6
A,192960,61624,0,0,3,0,6
A,100063,36612,0,7514,1,9245,2
A,200689,57294,0,0,3,0,6
B,205787,49468,145,12367,0,14931,0
A,197196,61678,0,0,3,0,6
B,84647,34200,0,11322,2,9272,4
A,213327,58625,0,0,3,0,6
A,198717,61250,0,0,3,0,6
A,205958,56487,0,0,3,0,5
A,194232,56822,0,0,3,0,6
A,204157,61844,0,0,3,0,6
A,210007,61052,0,0,3,0,6
A,188758,49448,0,0,3,0,6
A,218108,62003,0,0,3,0,6
B,100001,40135,0,0,2,0,5
A,198476,64608,0,21689,1,0,4
A,198774,59826,0,0,3,0,6
B,198547,56185,0,0,3,0,6
A,192105,55716,0,0,3,0,6
A,196673,60253,0,0,3,0,6
A,213232,63139,0,0,3,0,6
A,209778,59248,0,0,3,0,6
A,186980,55912,0,0,3,0,6
A,183923,52214,0,0,3,0,5
A,209515,61448,0,0,3,0,6
A,201126,56279,0,0,3,0,6
A,193238,56750,0,0,3,0,6
A,212082,59874,0,0,3,0,6
A,182613,52559,0,7208,0,9212,4
A,189887,56855,0,0,3,0,6
A,204968,55925,0,0,3,0,6
A,201004,59008,0,0,3,0,6
B,99951,40085,0,0,3,0,6
A,199822,63409,0,0,3,0,6
A,180348,58508,0,0,1,0,6
B,56479,18560,160,11982,0,14996,0
A,213278,62444,0,0,1,0,6
A,203308,54909,0,0,3,0,6
A,201727,62975,0,0,3,0,6
B,86779,32230,0,13216,0,11449,0
A,199313,56660,0,0,3,0,6
A,217029,0,0,0,3,0,6
A,183663,53426,0,6070,2,5448,6
B,58900,23364,0,0,2,0,4
A,200397,55694,0,0,3,0,6
A,185479,56475,0,0,3,0,6
A,214518,62925,0,0,3,0,6
A,205065,54046,0,0,3,0,6
A,191844,52663,0,0,3,0,6
A,203860,58361,0,0,3,0,6
A,193612,60071,0,6417,1,7713,5
A,176655,54166,0,0,3,0,6
A,200434,55852,0,0,3,0,6
A,174488,56712,0,0,3,0,6
A,197019,58067,0,0,3,0,6
A,201392,62511,0,0,3,0,6
A,207692,55498,0,0,3,0,6
A,205087,59511,0,0,3,0,6
A,191060,55615,0,0,3,0,6
A,208388,61137,0,0,3,0,6
B,90305,31398,0,0,3,0,6
A,206931,60591,0,0,3,0,6
A,198375,47296,0,0,2,0,6
A,184903,54083,0,0,3,0,6
A,206743,59628,0,0,3,0,6
A,85543,42102,0,0,3,0,6
A,192399,51856,0,0,3,0,6
A,212556,62527,0,0,3,0,6
A,190790,53735,0,0,3,0,6
A,206877,62977,0,0,3,0,6
A,214468,59189,0,0,3,0,5
A,212484,60658,0,0,3,0,6
A,218884,63480,0,0,3,0,6
A,219033,63905,0,0,3,0,6
A,199536,51344,0,0,3,0,0
A,207284,61095,0,0,3,0,6
A,193027,0,0,0,3,0,6
A,191590,56026,0,0,3,0,6
A,205264,53705,0,0,3,0,6
A,191038,52811,0,0,1,0,1
B,84689,36172,0,0,1,7377,6
B,88736,36947,0,13276,0,10707,0
B,200113,63180,0,0,3,0,6
A,187439,54798,0,0,3,0,6
A,220790,62769,60,8119,1,10134,4
A,189911,48409,0,0,3,0,6
A,179090,41261,0,0,1,0,5
A,202242,55237,0,0,3,0,6
A,193622,56564,0,0,2,0,5
A,199667,61573,0,0,3,0,6
A,198805,53265,0,17422,1,8851,6
A,177152,53982,0,0,3,0,6
A,204822,53024,0,0,3,0,5
A,207528,57611,0,0,3,0,6
A,55969,25942,0,8017,0,0,0
A,86173,27696,0,0,0,0,0
A,205379,60885,0,0,3,0,6
B,91211,43271,0,15238,0,13396,1
A,217280,59595,0,0,3,0,6
B,89615,29939,162,13028,0,13401,4
A,210790,57931,0,0,3,0,6
A,198487,57266,0,0,3,0,6
A,223294,57331,0,0,3,0,6
A,182894,57267,0,6875,1,7194,3
A,198047,54014,0,0,3,0,6
A,201201,56332,0,0,3,0,6
A,87050,42269,0,9967,1,11250,3
A,188960,56285,0,8996,1,7569,3
A,193820,59315,0,0,3,0,6
A,193010,50194,0,0,3,0,6
A,194720,54188,0,0,3,0,6
A,205340,52529,0,0,2,0,6
A,203260,55611,0,7171,1,7209,6
B,190254,54606,0,0,3,0,6
B,201073,58225,0,0,3,0,6
A,203384,62749,0,0,3,0,6
B,192923,0,83,9580,1,9092,3
A,202233,54602,0,0,3,0,6
A,207295,59630,0,0,3,0,6
A,194209,53486,0,0,3,0,6
A,216841,62621,0,0,3,0,6
A,189169,58897,0,0,3,0,6
A,183353,54916,0,0,3,0,6
A,184459,52820,0,0,3,0,6
A,214444,59832,0,0,3,0,6
A,198028,54524,0,0,3,0,6
A,193242,59317,0,0,3,0,6
A,181964,58733,0,0,3,0,6
A,202375,56146,0,0,3,0,6
A,198374,58651,0,0,3,0,6
A,198836,56217,0,0,3,0,6
A,225986,63636,0,0,3,0,6
A,200691,64961,0,0,3,0,6
A,214617,63633,0,0,3,0,6
A,194221,56620,0,0,3,0,6
A,207380,63285,0,0,3,0,6
A,231313,62847,0,14126,0,11632,4
B,84161,33381,0,0,3,0,6
B,176502,50755,0,8182,0,8980,0
A,179264,51048,0,0,3,0,6
A,198349,61487,0,0,3,0,6
A,204482,62147,0,0,3,0,6
A,217662,64673,0,0,3,0,6
A,202879,58459,0,0,3,0,6
A,200728,64248,0,0,3,0,6
A,194485,53622,0,0,3,0,6
B,196133,60704,0,0,3,0,6
B,85037,36804,0,0,3,0,6
A,207805,57647,0,0,3,0,6
A,179295,54711,0,0,3,0,6
A,194432,54343,0,0,3,0,6
A,219795,62055,0,0,3,0,6
A,198589,63427,0,0,3,0,6
B,87797,42720,0,0,3,0,6
A,206550,56368,0,0,2,0,5
A,194461,58671,0,0,3,0,6
A,194928,55925,0,0,3,0,6
B,189261,52379,0,0,3,0,6
A,210307,54632,0,8507,1,0,6
A,211480,59987,0,0,1,0,5
A,197741,63269,0,0,3,0,6
A,215388,63550,0,0,3,0,6
A,213268,60717,0,0,3,0,6
A,194479,55179,0,0,3,0,6
A,213249,62378,0,0,2,0,6
A,186687,61340,0,0,3,0,6
A,204336,59459,0,0,3,0,6
A,202859,60043,0,0,3,0,6
A,212750,61014,0,0,3,5930,5
B,84412,31437,0,0,0,0,6
A,194148,57187,0,0,3,0,6
A,205848,55044,0,0,3,0,6
A,199268,60339,0,0,3,0,6
A,201571,58026,0,5952,2,0,5
A,206295,58423,0,0,3,0,6
A,201603,58928,0,0,3,0,6
A,197231,55190,0,0,3,0,6
A,182279,53438,0,0,3,0,6
A,190232,60436,0,0,3,0,6
A,199508,55369,0,0,1,9131,3
A,216014,59376,0,0,3,0,6
A,211606,62629,0,0,3,0,6
A,189077,43746,0,0,3,0,6
A,187725,55766,0,10476,0,9852,1
A,201559,59702,0,0,3,0,6
A,202174,58063,0,0,3,0,6
A,198221,61123,0,0,3,0,6
A,100042,30366,0,7996,1,7386,4
A,182913,55082,0,0,3,0,6
B,199902,55328,143,5599,0,11068,0
A,198796,61888,0,0,3,0,6
B,85530,35933,0,7296,2,8926,5
A,214410,53480,0,0,3,0,6
A,204751,60769,0,0,3,0,6
A,199466,48693,0,0,3,0,5
A,194008,57667,0,0,3,0,6
A,213503,63278,0,0,3,0,6
A,203415,57428,0,0,3,0,6
A,206885,52763,0,0,3,0,6
A,220333,58931,0,0,3,0,6
B,100018,34042,0,0,1,0,5
A,205757,60108,0,12640,2,9743,4
A,223047,60902,0,0,3,0,6
B,212703,55669,0,0,3,0,6
A,201663,58185,0,0,3,0,6
A,194679,57642,0,0,3,0,6
A,218663,63166,0,0,3,0,6
A,203096,58319,0,0,3,0,6
A,195114,59133,0,0,3,0,6
A,190117,51676,0,0,2,0,5
A,211269,62445,0,0,3,0,6
A,196213,57920,0,0,3,0,6
A,194216,60171,0,0,3,0,6
A,203064,61698,0,0,3,0,6
A,178285,52466,0,8255,1,8502,4
A,188056,56970,0,0,3,0,6
A,211340,54364,0,0,3,0,6
A,208477,59169,0,0,3,0,6
B,99959,37871,0,0,3,0,6
A,208584,64572,0,0,3,0,6
A,197554,58318,0,0,1,0,6
B,50635,17135,160,17348,0,12364,0
A,208087,50606,0,0,1,0,6
A,201807,53189,0,0,3,0,6
A,201439,60166,0,0,3,0,6
B,88425,30422,0,11228,0,11658,0
A,202637,61837,0,0,3,0,6
A,221217,0,0,0,3,0,6
A,186656,52255,0,5617,2,5913,6
B,56668,19216,0,0,1,8254,3
A,191082,59353,0,0,3,0,6
A,182991,57296,0,0,3,0,6
